epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,123.647,1.91008,3.3021,2.17232,0.0122,1,0.06633,0.03056,1.59751,19.0303,2.37718,0.000137527,0.000137527,0.000137527
14,130.617,1.71276,2.3085,2.43161,0.85701,1,0.995,0.16744,2.09433,7.92385,3.04871,0.000145922,0.000145922,0.000145922
15,137.967,1.19684,2.03039,1.58816,0.8466,1,0.995,0.40169,1.58656,9.19448,2.90187,0.000153846,0.000153846,0.000153846
16,145.593,2.65794,3.14354,2.71972,0.87622,1,0.995,0.49922,1.42685,8.5984,2.77028,0.000161298,0.000161298,0.000161298
17,152.876,1.05985,1.78742,1.50527,0.93551,1,0.995,0.597,1.55559,5.59032,2.69402,0.000168279,0.000168279,0.000168279
18,159.374,1.64146,2.10981,1.54054,0.93551,1,0.995,0.597,1.55559,5.59032,2.69402,0.000174788,0.000174788,0.000174788
19,166.956,1.34542,2.26446,2.02247,0.00529,1,0.07107,0.04264,1.5604,5.01351,2.50175,0.000180826,0.000180826,0.000180826
20,172.404,1.37776,2.24628,1.54973,0.00529,1,0.07107,0.04264,1.5604,5.01351,2.50175,0.000186392,0.000186392,0.000186392
21,178.658,1.33281,2.24244,1.38355,0.00493,1,0.00985,0.00717,1.2504,7.6999,1.94855,0.000191486,0.000191486,0.000191486
22,185.33,2.22815,3.16262,1.78692,0.00493,1,0.00985,0.00717,1.2504,7.6999,1.94855,0.000196109,0.000196109,0.000196109
23,192.002,1.06386,1.81837,1.48942,0.00463,1,0.00873,0.00611,1.25948,7.57224,1.86373,0.00020026,0.00020026,0.00020026
24,197.677,1.44287,1.673,1.37806,0.00463,1,0.00873,0.00611,1.25948,7.57224,1.86373,0.00020394,0.00020394,0.00020394
25,203.021,0.65122,1.06906,1.22128,0.00538,1,0.04975,0.00964,1.66744,8.09155,2.05746,0.000207148,0.000207148,0.000207148
26,208.86,1.28864,2.59769,1.8175,0.00538,1,0.04975,0.00964,1.66744,8.09155,2.05746,0.000209884,0.000209884,0.000209884
27,214.5,0.91115,1.25491,1.03041,0.2139,0.8556,0.24875,0.07462,2.12168,5.8334,2.57977,0.000212149,0.000212149,0.000212149
28,220.378,0,33.9614,0,0.2139,0.8556,0.24875,0.07462,2.12168,5.8334,2.57977,0.000213943,0.000213943,0.000213943
29,227.168,0.54157,3.13135,1.33231,0.93136,1,0.995,0.20848,2.41178,5.00916,3.53864,0.000215265,0.000215265,0.000215265
30,233.374,0.80399,1.49028,1.13292,0.93136,1,0.995,0.20848,2.41178,5.00916,3.53864,0.000216115,0.000216115,0.000216115
31,239.837,1.03956,2.34808,1.46102,0.96943,1,0.995,0.20112,2.79982,4.62986,4.37464,0.000216493,0.000216493,0.000216493
32,245.794,1.56949,2.09877,1.68622,0.96943,1,0.995,0.20112,2.79982,4.62986,4.37464,0.000216401,0.000216401,0.000216401
33,252.147,1.24978,2.48014,1.37864,0.96847,1,0.995,0.2277,2.66065,5.29603,4.4437,0.000215836,0.000215836,0.000215836
1,97.3546,3.494,15.0774,3.63291,0.00641,1,0.03431,0.01393,1.75455,5.52517,2.80047,0,0,0
1,23.503,3.494,15.0774,3.63291,0.00641,1,0.03431,0.01393,1.75455,5.52517,2.80047,0,0,0
2,47.2767,2.73482,4.33979,2.80627,0.00633,1,0.04975,0.02373,1.77167,5.8931,2.7879,1.40542e-05,1.40542e-05,1.40542e-05
3,73.4784,1.8298,6.16402,2.25732,0.00617,1,0.11056,0.05064,1.7598,6.29454,2.72956,2.76369e-05,2.76369e-05,2.76369e-05
1,6.89648,3.494,15.0774,3.63291,0.00641,1,0.03431,0.01393,1.75455,5.52517,2.80047,0,0,0
2,13.8,2.73482,4.33979,2.80627,0.00633,1,0.04975,0.02373,1.77167,5.8931,2.7879,1.40542e-05,1.40542e-05,1.40542e-05
3,22.3229,1.8298,6.16402,2.25732,0.00617,1,0.11056,0.05064,1.7598,6.29454,2.72956,2.76369e-05,2.76369e-05,2.76369e-05
4,29.4264,2.079,5.74369,2.22724,0.00575,1,0.12437,0.04269,1.7363,7.45357,2.63587,4.07479e-05,4.07479e-05,4.07479e-05
5,36.1437,2.08008,3.26755,2.51133,0.0102,1,0.03109,0.00986,1.70356,15.6225,2.51139,5.33874e-05,5.33874e-05,5.33874e-05
6,43.0192,1.60992,2.51081,1.90162,0.0102,1,0.03109,0.00986,1.48519,34.7484,2.30129,6.55554e-05,6.55554e-05,6.55554e-05
7,49.8862,2.02354,3.42416,2.17263,0.0102,1,0.03109,0.00986,1.33244,73.9878,2.0828,7.72517e-05,7.72517e-05,7.72517e-05
8,55.9693,1.78592,2.4048,1.50201,0.0102,1,0.03109,0.00986,1.38457,108.608,1.99715,8.84765e-05,8.84765e-05,8.84765e-05
9,63.1936,1.30029,3.52628,1.44406,0.0102,1,0.03109,0.00986,1.48885,74.7497,2.01695,9.92298e-05,9.92298e-05,9.92298e-05
10,69.8188,1.35275,2.71761,1.61092,0.0102,1,0.03109,0.00986,1.53247,45.7414,1.8911,0.000109511,0.000109511,0.000109511
